sentence,target,polarity
Rice continues to be discussed as one of the top candidates to replace Secretary of State Hillary Clinton when she steps down next year.,Rice,6.0
"The lawmakers said the meeting covered questions about security at the U.S. Consulate and CIA annex in Benghazi before the Sept. 11 attacks, in which U.S. Ambassador Christopher Stevens and three other Americans were killed, and about Rice’s comments afterward.",The lawmakers,4.0
"We see a few talking about perhaps stepping away, but the fact of the matter is, Grover Norquist has challenged them, and basically called Peter King a weasel for even talking about compromising with that tax proposal.",Peter King,2.0
"Quite rightly, Americans for Tax Reform’s Grover Norquist is lashing out at congressional Republicans -- especially Rep.",Tax Reform’s Grover Norquist,6.0
Peter King (R-NY) -- for trying to “weasel” out of the anti-tax pledge they had previously signed but now (surprise!) no longer want to uphold: > Anti-tax hike crusader Grover Norquist is slamming Rep.,Peter King,2.0
"“The pledge is not for life, but everybody who signed the pledge including Peter King, and tried to weasel out of it, shame on him,” Norquist said on CNN’s “Piers Morgan Tonight” on Monday, adding, “I hope his wife understands that commitments last a little longer than two years or something.”",Peter King,2.0
Norquist’s comments came as King and some other top Republicans said they were willing to end their commitment to the pledge as Washington scrambles to find a deal that will fend off the looming fiscal cliff.,Norquist,4.0
Mr. Morsi’s advisers portrayed the decree as an attempt to cut through the deadlock that has stalled Egypt’s convoluted political transition more than 20 months after President Mubarak’s ouster.,Mubarak,2.0
"Mr. Morsi issued the decree at a high point in his five-month-old presidency, when he was basking in praise from the White House and around the world for his central role in negotiating a cease-fire that the previous night had stopped the fighting in the Gaza Strip between Israel and Hamas.",Mr. Morsi,6.0
The president made most of the changes Thursday by issuing a declaration amending what has become a patchwork interim constitution in effect since Mubarak's fall.,The president,6.0
"Mubarak was convicted in June to life in prison for failing to stop the killing of protesters during last year's uprising against his rule, but many Egyptians were angered that he wasn't convicted of actually ordering the crackdown and that his security chief, Habib el-Adly, was not sentenced to death.",Mubarak,2.0
"Morsi narrowly won the presidency -- about 52 percent of the vote -- to become Egypt's first freely elected and civilian president, ending nearly six decades of de facto military rule.",Morsi,6.0
"Colleagues praised Mr. Jackson’s tenure, noting his efforts to build a third airport in the Chicago area, his success in bringing nearly a billion dollars for projects in his district and his drive for an increase in the minimum wage.",Mr. Jackson,6.0
Mr. Jackson also is accused of instructing longtime friend and fundraiser Raghuveer Nayak to buy plane tickets for a woman described as Mr. Jackson’s “social acquaintance.”,Mr. Jackson,2.0
"All that aside, Susan Rice wasn't merely allowed to appear on television with faulty talking points, she was specifically given a bowdlerized version of events to share with the public.",Susan Rice,2.0
McCain contends that Rice either showed incompetence in sticking to the talking points for several days or was engaged in a willful cover-up.,Rice,2.0
"“To show our seriousness,” he said, “we put revenue on the table as long as it’s accompanied by significant spending cuts.”",we,6.0
"“Our challenge is to make sure that we are able to cooperate together, work together, find some common ground, make some tough compromises, build some consensus to do the people’s business,” Mr. Obama said on Friday.",we,6.0
"""When it comes to Condoleezza Rice, we're not the only country that thought he was trying to get weapons of mass destruction,"" Graham said.",Graham,4.0
“I think she misled us or was grossly incompetent.,she,2.0
"“The president has put forward a very specific plan that will be what he brings to the table when he sits down with Congressional leaders,” Mr. Carney told reporters at his daily White House briefing.",White House,4.0
"On Thursday, she appeared to blame angry voters in front of an audience in New York City: “I think the kind of leadership I was offering was not satisfying enough for certain people, and it wasn’t enough for me to say, ‘Look, I understand, and here’s what I want to do to help’ if I didn’t display more anger so that they could feel I got their anger,” she said.",she,2.0
"To her credit, and unlike many of her most fervent supporters, Hillary Clinton doesn’t deny that this web of class-related problems had some role in her downfall.",Hillary Clinton,6.0
"“Your voices are being heard all over the nation,” Romney told more than 20,000 people gathered at a farm in Morrisville, Pa.",Romney,6.0
"National polls indicated a slight enthusiasm advantage among likely voters for the president, with ABC saying 69 percent of likely Obama voters were very enthusiastic, compared with 62 percent of Romney’s, and Pew saying 39 percent of likely Obama voters support him strongly, compared with 33 percent of Romney’s.",Obama,6.0
"Obama's lead in Iowa combines with 3 to 4 percentage-point advantages in Wisconsin, Nevada and Ohio to give Obama an Electoral College lead.",Obama,6.0
"More polls will be released later on Monday, including final national numbers from Gallup, whose daily tracking survey has been the most consistently favorable to Romney in October.",Romney,6.0
"More polls will be released later on Monday, including final national numbers from Gallup, whose daily tracking survey has been the most consistently favorable to Romney in October.",Monday,4.0
“We’ve got to make people understand that what they’re seeing is not the real Mitt Romney.”,Mitt Romney,2.0
"The most recent run of the model, as of this writing, confirms the obvious: The probability of an Obama lead in the key battleground states is very high, given that virtually all polling in these states shows him ahead.",him,6.0
"Obama received a briefing from federal disaster relief officials yesterday and spoke by telephone with mayors and governors who may be affected, before leaving for Orlando, Florida, for an event this morning.",Obama,6.0
"Obama received a briefing from federal disaster relief officials yesterday and spoke by telephone with mayors and governors who may be affected, before leaving for Orlando, Florida, for an event this morning.",Orlando,4.0
"“Obama is in the difficult position of needing to continue the campaign while also acting as the chief executive; that could hurt his re-election chances, or boost them.”",Obama,4.0
Fugate spoke with President Barack Obama and other top administration officials including Homeland Security Secretary Janet Napolitano Saturday morning in preparation for the storm and emphasized to the media to get out the word that it won’t only be coastal areas deluged.,Homeland Security Secretary Janet Napolitano,4.0
